x;y;
0;4.019073070727779;
1;4.017759764185704;
2;4.014238447525931;
3;4.009134308160734;
4;4.002666565083235;
5;3.9960922386442776;
6;3.9878394332939786;
7;3.9806914233064936;
8;3.9736885111946396;
9;3.9648260054177955;
10;3.9551584769198045;
11;3.9437123658259883;
12;3.9321186137906396;
13;3.9200421071902602;
14;3.9071207430340555;
15;3.894525776682611;
16;3.882122683579427;
17;3.8641418541485164;
18;3.8511522677049355;
19;3.835658830555405;
20;3.822551862592014;
21;3.805675722443329;
22;3.7899169632265717;
23;3.76918825985509;
24;3.7531990371215;
25;3.726745718050066;
26;3.7048644229459056;
27;3.6775290450552562;
28;3.6492657856093977;
29;3.6188537185003073;
30;3.5942387488030643;
31;3.572067224107956;
32;3.553692136561992;
33;3.5357364822871347;
34;3.520556725574581;
35;3.49800152264941;
36;3.4797994691831318;
37;3.455950066509772;
38;3.438093229276524;
39;3.4184050412863973;
40;3.401872283517218;
41;3.3813627484775366;
42;3.366709859818589;
43;3.3491525423728814;
44;3.3318000994530084;
45;3.307702165833654;
46;3.2838462554484216;
47;3.2632439057605884;
48;3.2366938890453394;
49;3.214939688998692;
50;3.1873684210526316;
51;3.167700899782811;
52;3.1394307643108412;
53;3.114059667051261;
54;3.0852620830496935;
55;3.0489781536293163;
56;3.0067703568161024;
57;2.969128787878788;
58;2.926594700686948;
59;2.8776639344262294;
60;2.820793140407288;
61;2.7650481091966883;
62;2.704;
63;2.6391701654729562;
64;2.5815566401232983;
65;2.5312081435842484;
66;2.480656832730309;
67;2.4281984334203655;
68;2.3779122541603632;
69;2.3341716441370637;
70;2.294348252205162;
71;2.2497455039022736;
72;2.205861581920904;
73;2.1670345842531273;
74;2.1205374280230327;
75;2.0755697720911637;
76;2.027049521431544;
77;1.9683297180043384;
78;1.9094186570527265;
79;1.8524208566108007;
80;1.7924528301886793;
81;1.738345864661654;
82;1.692228512609367;
83;1.6575197889182058;
84;1.6130790190735695;
85;1.5730274202574146;
86;1.55031267765776;
87;1.5365005793742759;
88;1.5206124852767962;
89;1.511044776119403;
90;1.5018203883495145;
91;1.4950738916256157;
92;1.4934742075823493;
93;1.4861635220125786;
94;1.479259731971921;
95;1.4806701030927836;
96;1.4738903394255876;
97;1.465643762508339;
98;1.4576844955991874;
99;1.4481327800829875;
100;1.4397463002114166;
101;1.4356223175965666;
102;1.431159420289855;
103;1.4246877296105804;
104;1.4187779433681074;
105;1.4088145896656534;
106;1.4010861132660977;
107;1.3933910306845003;
108;1.3847389558232932;
109;1.37987012987013;
110;1.3741776315789473;
111;1.3735440931780365;
112;1.3650126156433977;
113;1.3582978723404255;
114;1.3565292096219932;
115;1.353913043478261;
116;1.3483642793987622;
117;1.3475935828877006;
118;1.3439201451905627;
119;1.3465437788018433;
120;1.3429906542056074;
121;1.341209829867675;
122;1.338771593090211;
123;1.3362658846529814;
124;1.3333333333333333;
125;1.3319959879638916;
126;1.326219512195122;
127;1.323013415892673;
128;1.3206751054852321;
129;1.3164693218514532;
130;1.310915104740904;
131;1.303811659192825;
132;1.2989690721649485;
133;1.2910798122065728;
134;1.2865707434052758;
135;1.2837837837837838;
136;1.2765957446808511;
137;1.2692307692307692;
138;1.2632275132275133;
139;1.2557510148849798;
140;1.2534435261707988;
141;1.25;
142;1.2485795454545454;
143;1.2471098265895955;
144;1.2419354838709677;
145;1.237593984962406;
146;1.2355623100303952;
147;1.2284820031298904;
148;1.2231139646869984;
149;1.2092257001647446;
150;1.1989881956155144;
151;1.1868512110726643;
152;1.1811722912966252;
153;1.1684782608695652;
154;1.154981549815498;
155;1.142314990512334;
156;1.1320388349514563;
157;1.120792079207921;
158;1.1120162932790223;
159;1.0981210855949897;
160;1.0932203389830508;
161;1.0881720430107527;
162;1.0728476821192052;
163;1.0625;
164;1.0547945205479452;
165;1.0422535211267605;
166;1.0332541567695963;
167;1.0240384615384615;
168;1.0241545893719808;
169;1.0147058823529411;
170;1.0124069478908189;
171;1;
172;1;
173;1;
174;1;
175;1;
176;1;
177;1;
178;1;
179;1;
180;1;
181;1;
182;1;
183;1;
184;1;
185;1;
186;1;
187;1;
188;1;
189;1;
190;1;
191;1;
192;1;
193;1;
194;1;
195;1;
196;1;
197;1;
198;1;
199;1;
200;1;
201;1;
202;1;
203;1;
204;1;
205;1;
206;1;
207;1;
208;1;
209;1;
210;1;
211;1;
212;1;
213;1;
214;1;
215;1;
216;1;
217;1;
218;1;
219;1;
220;1;
221;1;
222;1;
223;1;
224;1;
225;1;
226;1;
227;1;
228;1;
229;1;
230;1;
231;1;
232;1;
233;1;
234;1;
235;1;
236;1;
237;1;
238;1;
239;1;
240;1;
241;1;
242;1;
243;1;
244;1;
245;1;
246;1;
247;1;
248;1;
249;1;
250;1;
251;1;
252;1;
253;1;
254;1;
255;1;
256;1;
257;1;
258;1;
259;1;
