"x","y"
"0","48"
"1","60"
"2","77"
"3","94"
"4","95"
"5","122"
"6","116"
"7","108"
"8","131"
"9","136"
"10","128"
"11","132"
"12","147"
"13","136"
"14","160"
"15","156"
"16","164"
"17","132"
"18","175"
"19","142"
"20","163"
"21","167"
"22","136"
"23","152"
"24","166"
"25","141"
"26","155"
"27","159"
"28","143"
"29","148"
"30","159"
"31","119"
"32","137"
"33","128"
"34","145"
"35","123"
"36","126"
"37","99"
"38","117"
"39","93"
"40","75"
"41","76"
"42","78"
"43","79"
"44","79"
"45","97"
"46","76"
"47","84"
"48","83"
"49","74"
"50","65"
"51","78"
"52","67"
"53","72"
"54","71"
"55","57"
"56","76"
"57","62"
"58","69"
"59","59"
"60","56"
"61","70"
"62","54"
"63","50"
"64","53"
"65","81"
"66","61"
"67","53"
"68","58"
"69","50"
"70","49"
"71","39"
"72","51"
"73","48"
"74","60"
"75","49"
"76","41"
"77","33"
"78","33"
"79","47"
"80","36"
"81","32"
"82","36"
"83","25"
"84","18"
"85","20"
"86","21"
"87","16"
"88","20"
"89","14"
"90","21"
"91","13"
"92","15"
"93","13"
"94","19"
"95","17"
"96","25"
"97","20"
"98","16"
"99","21"
"100","25"
"101","20"
"102","16"
"103","13"
"104","9"
"105","17"
"106","16"
"107","18"
"108","20"
"109","16"
"110","18"
"111","13"
"112","12"
"113","18"
"114","12"
"115","18"
"116","9"
"117","17"
"118","12"
"119","18"
"120","12"
"121","16"
"122","14"
"123","19"
"124","13"
"125","9"
"126","15"
"127","18"
"128","12"
"129","11"
"130","11"
"131","11"
"132","6"
"133","12"
"134","11"
"135","10"
"136","16"
"137","10"
"138","9"
"139","16"
"140","13"
"141","16"
"142","11"
"143","10"
"144","13"
"145","12"
"146","15"
"147","16"
"148","24"
"149","12"
"150","9"
"151","20"
"152","11"
"153","16"
"154","11"
"155","10"
"156","6"
"157","11"
"158","10"
"159","9"
"160","8"
"161","6"
"162","4"
"163","9"
"164","4"
"165","8"
"166","7"
"167","7"
"168","8"
"169","2"
"170","3"
"171","8"
"172","2"
"173","7"
"174","4"
"175","9"
"176","6"
"177","10"
"178","7"
"179","5"
"180","3"
"181","7"
"182","6"
"183","2"
"184","4"
"185","5"
"186","6"
"187","4"
"188","8"
"189","6"
"190","3"
"191","3"
"192","8"
"193","7"
"194","10"
"195","7"
"196","3"
"197","3"
"198","3"
"199","5"
"200","6"
"201","2"
"202","6"
"203","6"
"204","3"
"205","5"
"206","5"
"207","2"
"208","6"
"209","5"
"210","4"
"211","2"
"212","9"
"213","3"
"214","4"
"215","3"
"216","5"
"217","5"
"218","4"
"219","2"
"220","3"
"221","3"
"222","4"
"223","4"
"224","1"
"225","7"
"226","8"
"227","2"
"228","1"
"229","3"
"230","4"
"231","2"
"232","7"
"233","3"
"234","6"
"235","6"
"236","6"
"237","5"
"238","3"
"239","5"
"240","8"
"241","3"
"242","3"
"243","5"
"244","3"
"245","5"
"246","4"
"247","3"
"248","6"
"249","3"
"250","3"
"251","1"
"252","2"
"253","5"
"254","4"
"255","3"
"256","3"
"257","7"
"258","3"
"259","5"
"260","3"
"261","6"
"262","5"
"263","5"
"264","4"
"265","3"
"266","2"
"267","3"
"268","3"
"269","4"
"270","3"
"271","4"
"272","4"
"273","3"
"274","3"
"275","2"
"276","6"
"277","1"
"278","2"
"279","5"
"280","2"
"281","3"
"282","3"
"283","4"
"284","3"
"285","3"
"286","5"
"287","5"
"288","3"
"289","4"
"290","3"
"291","3"
"292","2"
"293","6"
"294","3"
"295","5"
"296","3"
"297","3"
"298","4"
"299","4"
"300","4"
"301","5"
"302","1"
"303","5"
"304","2"
"305","3"
"306","2"
"307","4"
"308","6"
"309","3"
"310","2"
"311","2"
"312","1"
"313","2"
"314","4"
"315","3"
"316","5"
"317","2"
"318","6"
"319","3"
"320","7"
"321","2"
"322","2"
"323","2"
"324","6"
"325","4"
"326","3"
"327","3"
"328","5"
"329","2"
"330","2"
"331","2"
"332","3"
"333","1"
"334","1"
"335","2"
"336","2"
"337","1"
"338","1"
"339","2"
"340","1"
"341","1"
"342","4"
"343","1"
