"x","y"
"0","53"
"1","57"
"2","67"
"3","81"
"4","101"
"5","128"
"6","136"
"7","112"
"8","126"
"9","140"
"10","110"
"11","133"
"12","176"
"13","133"
"14","160"
"15","148"
"16","135"
"17","145"
"18","152"
"19","152"
"20","157"
"21","143"
"22","156"
"23","178"
"24","139"
"25","163"
"26","132"
"27","147"
"28","155"
"29","151"
"30","142"
"31","140"
"32","121"
"33","124"
"34","140"
"35","136"
"36","127"
"37","133"
"38","99"
"39","93"
"40","99"
"41","69"
"42","71"
"43","77"
"44","73"
"45","92"
"46","96"
"47","83"
"48","87"
"49","79"
"50","73"
"51","79"
"52","68"
"53","74"
"54","74"
"55","73"
"56","93"
"57","64"
"58","62"
"59","65"
"60","67"
"61","68"
"62","74"
"63","63"
"64","63"
"65","52"
"66","72"
"67","62"
"68","57"
"69","62"
"70","53"
"71","49"
"72","52"
"73","50"
"74","47"
"75","38"
"76","43"
"77","40"
"78","43"
"79","45"
"80","30"
"81","30"
"82","28"
"83","43"
"84","20"
"85","15"
"86","20"
"87","18"
"88","21"
"89","28"
"90","22"
"91","21"
"92","20"
"93","24"
"94","19"
"95","13"
"96","22"
"97","15"
"98","27"
"99","27"
"100","22"
"101","19"
"102","25"
"103","17"
"104","18"
"105","22"
"106","12"
"107","23"
"108","20"
"109","20"
"110","18"
"111","18"
"112","14"
"113","13"
"114","16"
"115","12"
"116","13"
"117","17"
"118","21"
"119","13"
"120","24"
"121","15"
"122","16"
"123","17"
"124","20"
"125","17"
"126","18"
"127","15"
"128","19"
"129","14"
"130","14"
"131","21"
"132","18"
"133","15"
"134","19"
"135","16"
"136","17"
"137","14"
"138","14"
"139","16"
"140","15"
"141","16"
"142","19"
"143","27"
"144","22"
"145","15"
"146","9"
"147","11"
"148","10"
"149","17"
"150","14"
"151","21"
"152","13"
"153","14"
"154","15"
"155","14"
"156","13"
"157","16"
"158","9"
"159","8"
"160","7"
"161","12"
"162","12"
"163","16"
"164","10"
"165","11"
"166","12"
"167","11"
"168","11"
"169","6"
"170","13"
"171","9"
"172","8"
"173","7"
"174","8"
"175","7"
"176","10"
"177","7"
"178","9"
"179","11"
"180","6"
"181","9"
"182","8"
"183","8"
"184","7"
"185","8"
"186","7"
"187","9"
"188","10"
"189","12"
"190","7"
"191","7"
"192","7"
"193","7"
"194","13"
"195","6"
"196","7"
"197","9"
"198","11"
"199","6"
"200","7"
"201","6"
"202","9"
"203","7"
"204","4"
"205","8"
"206","7"
"207","8"
"208","7"
"209","6"
"210","7"
"211","6"
"212","9"
"213","15"
"214","8"
"215","6"
"216","8"
"217","6"
"218","9"
"219","4"
"220","8"
"221","10"
"222","6"
"223","7"
"224","7"
"225","6"
"226","11"
"227","6"
"228","6"
"229","8"
"230","8"
"231","5"
"232","6"
"233","8"
"234","6"
"235","7"
"236","4"
"237","9"
"238","4"
"239","6"
"240","5"
"241","5"
"242","7"
"243","9"
"244","9"
"245","6"
"246","8"
"247","7"
"248","5"
"249","7"
"250","6"
"251","6"
"252","7"
"253","6"
"254","6"
"255","8"
"256","6"
"257","11"
"258","6"
"259","4"
"260","8"
"261","8"
"262","5"
"263","8"
"264","7"
"265","4"
"266","4"
"267","6"
"268","5"
"269","5"
"270","5"
"271","7"
"272","7"
"273","5"
"274","10"
"275","5"
"276","8"
"277","6"
"278","9"
"279","5"
"280","6"
"281","5"
"282","9"
"283","5"
"284","7"
"285","4"
"286","7"
"287","6"
"288","6"
"289","5"
"290","9"
"291","5"
"292","4"
"293","9"
"294","7"
"295","9"
"296","5"
"297","8"
"298","5"
"299","6"
"300","6"
"301","6"
"302","4"
"303","9"
"304","6"
"305","5"
"306","6"
"307","8"
"308","6"
"309","6"
"310","5"
"311","7"
"312","8"
"313","8"
"314","5"
"315","5"
"316","4"
"317","6"
"318","5"
"319","4"
"320","8"
"321","7"
"322","6"
"323","5"
"324","8"
"325","7"
"326","5"
"327","5"
"328","6"
"329","7"
"330","6"
"331","7"
"332","5"
"333","7"
"334","6"
"335","7"
"336","4"
"337","4"
"338","5"
"339","4"
"340","4"
"341","5"
"342","4"
"343","5"
"344","6"
"345","4"
"346","5"
"347","4"
