"x","y"
"0","1"
"1","4.018456488242782"
"2","4.016376836062806"
"3","4.01335604770017"
"4","4.008464953029834"
"5","4.003035060177917"
"6","3.9958537103976184"
"7","3.98733948925119"
"8","3.978664806110458"
"9","3.9702907238123784"
"10","3.961804361941866"
"11","3.9532498927749833"
"12","3.9434022384195644"
"13","3.932709593070763"
"14","3.921946317155898"
"15","3.90612332902113"
"16","3.893897211542711"
"17","3.880844096780062"
"18","3.86699024595137"
"19","3.8510259983660915"
"20","3.8349408913290794"
"21","3.8194833647526365"
"22","3.8035882908404153"
"23","3.7852338070955844"
"24","3.766037523873722"
"25","3.7456603773584907"
"26","3.721189143648071"
"27","3.6940867608451056"
"28","3.6667966718668747"
"29","3.639561629008253"
"30","3.6098112674065175"
"31","3.5844966936076412"
"32","3.56286649912421"
"33","3.54204133144029"
"34","3.524649036891936"
"35","3.506423258958756"
"36","3.485446256356304"
"37","3.466237066618261"
"38","3.443194706994329"
"39","3.423501808583439"
"40","3.4043931572021457"
"41","3.3891717759534448"
"42","3.3702794964796245"
"43","3.352077167598378"
"44","3.333858977247128"
"45","3.3140810904470372"
"46","3.291963861150737"
"47","3.272205253512523"
"48","3.2454705586311023"
"49","3.223386366576122"
"50","3.1924876353428684"
"51","3.1623340707964602"
"52","3.136680415303655"
"53","3.106554967666079"
"54","3.073500379650721"
"55","3.0422138836772983"
"56","3.0051696284329563"
"57","2.959885867740853"
"58","2.9205436487192893"
"59","2.8772373892605314"
"60","2.8362036690378134"
"61","2.786617389612916"
"62","2.7356507679870656"
"63","2.6689932318104908"
"64","2.6081767955801105"
"65","2.5394950196895993"
"66","2.4790506175829496"
"67","2.416982562547384"
"68","2.351671492498026"
"69","2.2950054884742044"
"70","2.2478681068789084"
"71","2.18968583283936"
"72","2.1327980234712784"
"73","2.0904716073147256"
"74","2.039679893297766"
"75","1.997923875432526"
"76","1.9473684210526316"
"77","1.8900037160906726"
"78","1.8189957181782794"
"79","1.7640177490923759"
"80","1.6937578550481776"
"81","1.624400871459695"
"82","1.5557065217391304"
"83","1.5051353874883286"
"84","1.4510556621881"
"85","1.413997042878265"
"86","1.3824861600402616"
"87","1.3566649511065363"
"88","1.3340325117986367"
"89","1.325384207737149"
"90","1.3089736700698549"
"91","1.3020097772949484"
"92","1.2915980230642503"
"93","1.2775919732441472"
"94","1.2662521198417185"
"95","1.2572898799313894"
"96","1.2507221259387638"
"97","1.2406542056074767"
"98","1.2284023668639052"
"99","1.220491312162972"
"100","1.2120291616038883"
"101","1.2095588235294117"
"102","1.2004950495049505"
"103","1.1923797626483448"
"104","1.1836605446485118"
"105","1.1743886743886744"
"106","1.1703511053315996"
"107","1.1652402896642529"
"108","1.1625582944703532"
"109","1.1557210561949898"
"110","1.15"
"111","1.1400832177531206"
"112","1.1348314606741574"
"113","1.1267705382436262"
"114","1.117310443490701"
"115","1.1052249637155298"
"116","1.0980248719824433"
"117","1.0895632864544782"
"118","1.081282624906786"
"119","1.0731523378582202"
"120","1.0678871090770403"
"121","1.0636503067484662"
"122","1.0599221789883269"
"123","1.055686274509804"
"124","1.0508339952343129"
"125","1.0504807692307692"
"126","1.0472312703583062"
"127","1.042763157894737"
"128","1.0390365448504983"
"129","1.037193575655114"
"130","1.0332197614991483"
"131","1.0335051546391754"
"132","1.0312771503040834"
"133","1.029049295774648"
"134","1.0293855743544078"
"135","1.0297297297297296"
"136","1.0265811182401468"
"137","1.0259019426456983"
"138","1.0243217960710944"
"139","1.0227272727272727"
"140","1.0219256434699715"
"141","1.0221366698748797"
"142","1.021359223300971"
"143","1.0196850393700787"
"144","1.019019019019019"
"145","1.0182370820668694"
"146","1.0184994861253853"
"147","1.0156903765690377"
"148","1.0148777895855472"
